material_id,formula,band_gap,e_above_hull,composition_obj,space_group,predicted_gap_pbe,predicted_gap_exp,prediction_uncertainty,uncertainty,priority_score
mp-1110858,K2AgMoCl6,1.0353,0.047456513333335004,K2 Ag1 Mo1 Cl6,225,1.3483218234300633,1.3483218234300633,0.2182463894727988,0.21824638947279884,0.5323248638663124
mp-27304,K2MnCl6,1.0996,0.0,K2 Mn1 Cl6,225,1.5044597262725026,1.5044597262725026,0.2770608443883785,0.2770608443883785,0.5293054723036376
mp-1112108,Cs2TlSbBr6,1.2294,0.014962783,Cs2 Tl1 Sb1 Br6,225,1.3134681522143992,1.3134681522143992,0.10268195991152526,0.10268195991152534,0.5269579060676864
mp-569984,Cs3Au2Br11,1.1515,0.0,Cs12 Au8 Br44,14,1.5084005905618698,1.5084005905618698,0.2750394312874335,0.27503943128743347,0.5210421216726329
mp-568570,CsSnI3,0.617499999999999,0.011059161000002002,Cs4 Sn4 I12,62,1.130002577719234,1.130002577719234,0.3820634976503765,0.3820634976503765,0.5093420077724671
mp-29250,Li6VCl8,1.5371000000000001,0.0,Li6 V1 Cl8,225,1.5314335941892736,1.5314335941892736,0.29869681272051035,0.2986968127205104,0.5060951887073676
mp-1068340,CsGeBr3,0.7856000000000001,0.0,Cs1 Ge1 Br3,160,1.1944098699594197,1.1944098699594197,0.21528178539575393,0.21528178539575393,0.5016893979523736
mp-571458,RbGeI3,0.554,0.013385509333329002,Rb1 Ge1 I3,221,1.2364449834144073,1.2364449834144073,0.19930782573137326,0.19930782573137337,0.49988230254883664
mp-642739,CsGeBr3,1.4434,0.000624389999998,Cs1 Ge1 Br3,8,1.1944098699594197,1.1944098699594197,0.21528178539575393,0.21528178539575393,0.4991397650141408
mp-1112112,Cs2TlAsBr6,1.2314,0.0,Cs2 Tl1 As1 Br6,225,1.4713740772709718,1.471374077270972,0.1869503990313865,0.18695039903138647,0.4980062143299445
